run_name	output_dir	actual_type	run_kind	actual_alpha	policy	rho	lambda	top_k	epsilon	tau	start_ckpt	global_step_start	global_step_end	ori_l2r_at_20k	ori_l2r_at_30k	ori_l2r_at_40k	ori_l2r_at_50k	ori_l2r_at_60k	model_order_at_40k	rw_order_at_40k	notes
clean_base_random_perm	probe_results/clean_base_random_perm	random_perm_baseline	baseline	0.0	progressive_rw_unused	NA	NA	4_unused	NA	NA	scratch	0	60000	3.7073	3.6257	3.5526	3.5208	3.5203	3.7533	3.7268	source/baseline; rw_policy field present in config but never consulted (alpha_for_step returns 0)
clean_ori_l2r_from_scratch	probe_results/clean_ori_l2r_from_scratch	l2r_from_scratch	l2r	0.0	progressive_rw_unused	NA	NA	4_unused	NA	NA	scratch	0	60000	3.5412	3.4941	3.4672	3.4760	3.4973	6.8142	6.4197	L2R training from scratch; rw_policy never consulted
stageA_l2r_from30k	probe_results/stageA_l2r_from30k	l2r_continuation_oracle	l2r	0.0	progressive_rw_unused	NA	NA	4_unused	NA	NA	clean_ori_l2r_from_scratch_then_self_chain	30000	60000	NA	NA	3.4007	3.3899	3.4096	5.5125	5.3074	L2R oracle continuation; lower bound reference; rw_policy never consulted
clean_method_graph_rw_a09_from20k_v2	probe_results/clean_method_graph_rw_a09_from20k_v2	graph_rw_real_v1v2	graph_rw	0_to_0.9_over_10k	progressive_rw	NA	NA	4	0	0.10	clean_base@20k	20000	60000	NA	3.5633	3.4838	3.4574	3.4638	3.7792	3.6785	v1/v2 progressive_rw without readiness term; best ori_l2r=3.457 @50k
clean_method_graph_rw_v3_from20k	probe_results/clean_method_graph_rw_v3_from20k	graph_rw_real_v3_readiness	graph_rw	0_to_0.9_over_10k	progressive_rw_v3	0.2	0.75	4	0	0.10	clean_base@20k	20000	60000	NA	3.5633	3.4838	3.4583	3.4655	3.7787	3.6764	v3 readiness-guided Graph-RW; matches v2 on ori_l2r within 0.001
clean_method_graph_rw_no_readiness_from20k	probe_results/clean_method_graph_rw_no_readiness_from20k	graph_rw_v3_no_readiness_ablation	graph_rw	0_to_0.9_over_10k	progressive_rw_v3	0.0	0.75	4	0	0.10	clean_base@20k	20000	40000	NA	3.5562	3.4844	NA	NA	3.7845	3.6853	rho=0 ablation; v3 with readiness term zeroed
clean_method_graph_rw_a10_from20k	probe_results/clean_method_graph_rw_a10_from20k	graph_rw_real_alpha_1.0	graph_rw	0_to_1.0_over_10k	progressive_rw	NA	NA	4	0	0.10	clean_base@20k	20000	36000	NA	3.5616	NA_3.5252_at_35k	NA	NA	NA	NA	pure RW alpha=1.0; underperforms; only ran to 36k
clean_method_graph_rw_a10_to_a09_30k40k	probe_results/clean_method_graph_rw_a10_to_a09_30k40k	graph_rw_piecewise	graph_rw	piecewise_alpha=0.9_after_30k	progressive_rw	NA	NA	4	0	0.10	a10_from20k@30k	30000	60000	NA	NA	3.4831	3.4575	3.4634	3.7807	3.6786	a10 then a09 piecewise; matches v2/v3 final
clean_method_graph_rw_a10_to_a095_30k60k	probe_results/clean_method_graph_rw_a10_to_a095_30k60k	graph_rw_piecewise	graph_rw	piecewise_alpha=0.95_after_30k	progressive_rw	NA	NA	4	0	0.10	a10_from20k@30k	30000	60000	NA	NA	3.4821	3.4566	3.4625	3.7869	3.6789	a10 then a0.95 piecewise; best @60k=3.4625
ablation_rand_refresh_a09_from20k	probe_results/ablation_rand_refresh_a09_from20k	graph_rw_random_refresh_ablation	graph_rw	0_to_0.9_over_10k	progressive_rw	NA	NA	4	0	0.10	clean_base@20k	20000	60000	NA	3.5618	3.4837	3.4579	3.4634	3.7791	3.6779	random-A refresh ablation; equivalent to v2
clean_method_graph_rw_a09_v2_no_refresh_20k40k	probe_results/clean_method_graph_rw_a09_v2_no_refresh_20k40k	graph_rw_no_refresh_ablation	graph_rw	0_to_0.9_over_10k	progressive_rw	NA	NA	4	0	0.10	clean_base@20k	20000	34000	NA	3.5625	NA_3.5229_at_34k	NA	NA	NA	NA	no-refresh ablation; ori_l2r=3.523 @34k slower convergence
clean_method_graph_rw_a09_from20k_eps015	probe_results/clean_method_graph_rw_a09_from20k_eps015	graph_rw_noise_eps015	graph_rw	0_to_0.9_over_10k	progressive_rw	NA	NA	4	0.15	0.10	clean_base@20k	20000	40000	NA	3.5749	3.4989	NA	NA	3.7700	3.7051	noise ablation eps=0.15; weaker than top_k=4 eps=0
clean_method_graph_rw_a09_from20k_eps020	probe_results/clean_method_graph_rw_a09_from20k_eps020	graph_rw_noise_eps020	graph_rw	0_to_0.9_over_10k	progressive_rw	NA	NA	4	0.20	0.10	clean_base@20k	20000	40000	NA	3.5764	3.4992	NA	NA	3.7639	3.7066	noise ablation eps=0.20; weaker
